drug_1,drug_2,pt,final_outcome,case_count,support,confidence,lift
VANCOMYCIN,RITUXIMAB,Quadriparesis,Serious,6,0.001,1.0,852.0
PREDNISOLONE,MELATONIN,Epistaxis,Moderate,5,0.0008,0.5,596.4
METOCLOPRAMIDE,CYCLOSPORINE,Cardiac failure,Serious,9,0.0015,1.0,542.18
ACYCLOVIR,IBUPROFEN,Hepatitis acute,Moderate,5,0.0008,0.71,532.5
METOCLOPRAMIDE,PREDNISOLONE,Thrombotic microangiopathy,Moderate,10,0.0017,1.0,497.0
RIZATRIPTAN,ZOPICLONE,Dysphonia,Moderate,5,0.0008,0.38,458.77
MYCOPHENOLATE MOFETIL,LEVETIRACETAM,Venoocclusive liver disease,Moderate,5,0.0008,0.31,372.75
CEFTRIAXONE,LEVETIRACETAM,Purpura,Moderate,9,0.0015,0.5,331.33
ACYCLOVIR,AMPHOTERICIN B,Renal tubular disorder,Moderate,10,0.0017,0.53,313.89
DIAZEPAM,METHYLPHENIDATE,Pulmonary embolism,Serious,6,0.001,0.67,165.67
CARBAMAZEPINE,LAMOTRIGINE,BRASH syndrome,Serious,5,0.0008,0.14,165.67
MYCOPHENOLATE MOFETIL,ECULIZUMAB,COVID-19,Serious,6,0.001,0.86,164.9
DULOXETINE,ZOPICLONE,Dementia,Moderate,10,0.0017,0.36,163.85
ZOPICLONE,PREGABALIN,Acquired haemophilia,Critical,10,0.0017,0.26,156.95
LAMOTRIGINE,BENZTROPINE,Cardiac arrest,Critical,8,0.0013,0.5,149.1
DULOXETINE,RISPERIDONE,Encephalopathy,Serious,5,0.0008,0.33,142.0
METOCLOPRAMIDE,ZOPICLONE,Ischaemic stroke,Serious,6,0.001,0.55,135.55
GABAPENTIN,LEVETIRACETAM,Purpura,Moderate,9,0.0015,0.2,135.55
PHENYTOIN,GABAPENTIN,Inspiratory capacity decreased,Serious,12,0.002,0.27,132.53
BENZTROPINE,MELATONIN,Cardiac arrest,Critical,7,0.0012,0.44,130.46
PHENYTOIN,IBUPROFEN,Inspiratory capacity decreased,Serious,10,0.0017,0.25,124.25
LAMOTRIGINE,MELATONIN,Cardiac arrest,Critical,14,0.0023,0.41,122.79
GABAPENTIN,AMITRIPTYLINE,Anal incontinence,Moderate,6,0.001,0.14,121.71
ACYCLOVIR,METOCLOPRAMIDE,Inappropriate antidiuretic hormone secretion,Serious,5,0.0008,0.28,118.33
BENZTROPINE,MELATONIN,Death,Critical,6,0.001,0.38,117.71
BENZTROPINE,LAMOTRIGINE,Death,Critical,6,0.001,0.38,117.71
ACYCLOVIR,CEFTRIAXONE,Stevens-Johnson syndrome,Moderate,6,0.001,0.32,110.79
CANDESARTAN,AZATHIOPRINE,Obstructive airways disorder,Moderate,7,0.0012,0.12,101.08
GABAPENTIN,AMANTADINE,Serotonin syndrome,Moderate,9,0.0015,0.64,98.31
LEVETIRACETAM,PHENOBARBITAL,Electrolyte imbalance,Moderate,5,0.0008,0.08,94.67
LAMOTRIGINE,MELATONIN,Death,Critical,10,0.0017,0.29,92.32
RISPERIDONE,RIVASTIGMINE,Parkinsonism,Moderate,5,0.0008,0.33,90.36
LAMOTRIGINE,ZOPICLONE,Cerebrovascular accident,Moderate,8,0.0013,0.21,87.38
ZOPICLONE,BACLOFEN,Suicidal ideation,Moderate,9,0.0015,0.39,83.35
OXCARBAZEPINE,PREGABALIN,Parkinsonism,Moderate,8,0.0013,0.3,80.32
IBUPROFEN,GABAPENTIN,Inspiratory capacity decreased,Serious,10,0.0017,0.16,80.16
MYCOPHENOLATE MOFETIL,ALEMTUZUMAB,Cytomegalovirus infection reactivation,Moderate,12,0.002,0.29,74.09
DIAZEPAM,ZOPICLONE,Myocardial infarction,Moderate,6,0.001,0.17,73.03
TOPIRAMATE,OXCARBAZEPINE,Hypokalaemia,Moderate,6,0.001,0.21,72.58
MELATONIN,CEFTRIAXONE,Ascites,Moderate,5,0.0008,0.08,72.2
DULOXETINE,AMANTADINE,Serotonin syndrome,Moderate,8,0.0013,0.47,71.96
PHENYTOIN,LEVETIRACETAM,Tubulointerstitial nephritis,Moderate,8,0.0013,0.09,70.16
PREGABALIN,BACLOFEN,Altered state of consciousness,Serious,6,0.001,0.11,67.52
MELATONIN,PHENOBARBITAL,Product use issue,Moderate,5,0.0008,0.13,65.39
PREDNISOLONE,LEVETIRACETAM,Hepatic cytolysis,Moderate,5,0.0008,0.22,64.83
PHENOBARBITAL,BACLOFEN,Product prescribing error,Moderate,5,0.0008,0.11,63.45
CLOBAZAM,BACLOFEN,Product prescribing error,Moderate,5,0.0008,0.11,63.45
LAMOTRIGINE,CLOBAZAM,Anorectal malformation,Serious,5,0.0008,0.05,63.45
CANDESARTAN,AZATHIOPRINE,Hypothyroidism,Moderate,5,0.0008,0.08,63.18
GABAPENTIN,CEFTRIAXONE,Purpura,Moderate,9,0.0015,0.09,61.48
MELATONIN,BACLOFEN,Product use issue,Moderate,5,0.0008,0.12,57.79
GABAPENTIN,DULOXETINE,Cholestatic liver injury,Moderate,7,0.0012,0.1,56.65
GABAPENTIN,PHENOBARBITAL,Product use issue,Moderate,5,0.0008,0.11,55.22
PHENOBARBITAL,BACLOFEN,Product use issue,Moderate,5,0.0008,0.11,52.87
VALPROIC ACID,RISPERIDONE,Neuroleptic malignant syndrome,Serious,5,0.0008,0.11,50.97
TOPIRAMATE,PHENOBARBITAL,Multiple-drug resistance,Moderate,5,0.0008,0.24,50.71
DULOXETINE,BACLOFEN,Suicidal ideation,Moderate,5,0.0008,0.23,48.41
VALPROIC ACID,PREGABALIN,Serotonin syndrome,Moderate,5,0.0008,0.31,47.79
GABAPENTIN,CEFTRIAXONE,Ascites,Moderate,5,0.0008,0.05,43.92
GABAPENTIN,MELATONIN,Ascites,Moderate,7,0.0012,0.05,43.85
CLOBAZAM,PHENOBARBITAL,Product prescribing error,Moderate,5,0.0008,0.07,42.0
LEVETIRACETAM,PREGABALIN,Ischaemic stroke,Serious,7,0.0012,0.17,41.42
DULOXETINE,ZOPICLONE,Suicidal ideation,Moderate,5,0.0008,0.18,38.04
DIAZEPAM,RISPERIDONE,Cholelithiasis,Serious,11,0.0018,0.08,36.57
CARBAMAZEPINE,AMITRIPTYLINE,Depressed level of consciousness,Moderate,5,0.0008,0.12,36.37
LAMOTRIGINE,PRAMIPEXOLE,Suicidal ideation,Moderate,6,0.001,0.17,35.5
CLOBAZAM,LEVETIRACETAM,Anorectal malformation,Serious,5,0.0008,0.03,35.08
CLOBAZAM,BACLOFEN,Drug dependence,Moderate,6,0.001,0.13,34.61
VALPROIC ACID,CLOBAZAM,Delirium,Moderate,5,0.0008,0.07,34.24
LAMOTRIGINE,LEVETIRACETAM,Toxic optic neuropathy,Moderate,12,0.002,0.07,32.59
LAMOTRIGINE,LEVETIRACETAM,Anorectal malformation,Serious,5,0.0008,0.03,32.59
LAMOTRIGINE,ZONISAMIDE,Foetal exposure during pregnancy,Moderate,6,0.001,0.21,32.47
LAMOTRIGINE,DIAZEPAM,Drug reaction with eosinophilia and systemic symptoms,Serious,5,0.0008,0.16,32.13
NAPROXEN,TOPIRAMATE,Type 2 diabetes mellitus,Moderate,5,0.0008,0.04,32.03
DIAZEPAM,RISPERIDONE,Schizophrenia,Serious,11,0.0018,0.08,31.69
LAMOTRIGINE,PRAMIPEXOLE,Suicide attempt,Moderate,6,0.001,0.17,31.06
GABAPENTIN,PHENOBARBITAL,Drug dependence,Moderate,5,0.0008,0.11,30.12
MELATONIN,CEFTRIAXONE,Abdominal pain,Moderate,5,0.0008,0.08,29.73
LACOSAMIDE,CLOBAZAM,Pneumonia aspiration,Moderate,7,0.0012,0.08,29.65
TRIHEXYPHENIDYL,AMANTADINE,Somnolence,Moderate,5,0.0008,0.25,29.24
PHENOBARBITAL,BACLOFEN,Drug dependence,Moderate,5,0.0008,0.11,28.84
GABAPENTIN,CLOBAZAM,Drug dependence,Moderate,5,0.0008,0.1,26.07
LAMOTRIGINE,PRAMIPEXOLE,Condition aggravated,Moderate,12,0.002,0.33,25.82
LAMOTRIGINE,ZOLPIDEM,Suicidal ideation,Moderate,6,0.001,0.12,25.06
GABAPENTIN,MELATONIN,Abdominal distension,Moderate,8,0.0013,0.06,25.06
AMITRIPTYLINE,PREGABALIN,Serotonin syndrome,Moderate,15,0.0025,0.16,24.4
GABAPENTIN,BACLOFEN,Product use issue,Moderate,5,0.0008,0.05,23.67
PREDNISOLONE,LEVETIRACETAM,Condition aggravated,Moderate,7,0.0012,0.3,23.57
VALPROIC ACID,LACOSAMIDE,Status epilepticus,Moderate,6,0.001,0.08,23.54
TOPIRAMATE,LEVETIRACETAM,Multiple-drug resistance,Moderate,6,0.001,0.11,23.24
LAMOTRIGINE,LEVETIRACETAM,Sudden unexplained death in epilepsy,Moderate,7,0.0012,0.04,22.81
PHENYTOIN,GABAPENTIN,Drug ineffective for unapproved indication,Moderate,9,0.0015,0.2,22.51
PHENYTOIN,IBUPROFEN,Drug ineffective for unapproved indication,Moderate,8,0.0013,0.2,22.51
NAPROXEN,TOPIRAMATE,Abdominal pain upper,Moderate,5,0.0008,0.04,22.42
ZOLPIDEM,PRAMIPEXOLE,Condition aggravated,Moderate,5,0.0008,0.26,20.38
TOPIRAMATE,RITUXIMAB,Weight increased,Moderate,7,0.0012,0.04,20.35
LAMOTRIGINE,TOPIRAMATE,Pleural effusion,Serious,6,0.001,0.05,20.13
DIAZEPAM,RISPERIDONE,Hepatic enzyme increased,Moderate,5,0.0008,0.04,19.64
CARBAMAZEPINE,AMITRIPTYLINE,Fall,Serious,7,0.0012,0.17,19.21
CLOBAZAM,PHENOBARBITAL,Drug dependence,Moderate,5,0.0008,0.07,19.09
PHENYTOIN,LEVETIRACETAM,Status epilepticus,Moderate,5,0.0008,0.06,18.46
LAMOTRIGINE,CLOBAZAM,Foetal exposure during pregnancy,Moderate,11,0.0018,0.12,18.37
LAMOTRIGINE,ZOLPIDEM,Suicide attempt,Moderate,5,0.0008,0.1,18.27
GABAPENTIN,MELATONIN,Product use issue,Moderate,5,0.0008,0.04,18.27
LAMOTRIGINE,LEVETIRACETAM,Maternal death,Moderate,5,0.0008,0.03,18.11
GABAPENTIN,CEFTRIAXONE,Abdominal pain,Moderate,5,0.0008,0.05,18.08
TOPIRAMATE,CLOBAZAM,Multiple-drug resistance,Moderate,5,0.0008,0.08,17.18
LAMOTRIGINE,TOPIRAMATE,Paraesthesia,Moderate,5,0.0008,0.04,16.77
RISPERIDONE,ZOPICLONE,Fall,Serious,6,0.001,0.14,16.08
