Drug1,Drug2,PT,case_count,support,confidence,lift
ACYCLOVIR,ZOLPIDEM,Blood HIV RNA increased,2,0.00033534540576794097,1.0,2982.0
DOMPERIDONE,CYCLOSPORINE,Cytopenia,2,0.00033534540576794097,1.0,1987.9999999999998
ZOLPIDEM,RISPERIDONE,Hyperammonaemic encephalopathy,2,0.00033534540576794097,1.0,1491.0
ZOPICLONE,DONEPEZIL,Multiple drug therapy,2,0.00033534540576794097,1.0,1491.0
LAMOTRIGINE,BACLOFEN,Immune thrombocytopenia,3,0.0005030181086519115,0.7500000000000001,1491.0
CANDESARTAN,ZOLPIDEM,Odynophagia,2,0.00033534540576794097,0.5,1491.0
VANCOMYCIN,LEVETIRACETAM,Linear IgA disease,4,0.0006706908115358819,1.0,1192.8
ZOLPIDEM,TIZANIDINE,Pancreatitis necrotising,3,0.0005030181086519115,0.7500000000000001,894.6000000000001
AMITRIPTYLINE,MODAFINIL,Urticaria,2,0.00033534540576794097,1.0,852.0
VANCOMYCIN,RITUXIMAB,Quadriparesis,6,0.001006036217303823,1.0,852.0
TOPIRAMATE,ZOPICLONE,Diffuse axonal injury,4,0.0006706908115358819,0.5714285714285714,852.0
TOPIRAMATE,ZOPICLONE,White matter lesion,3,0.0005030181086519115,0.4285714285714286,852.0
TRIHEXYPHENIDYL,METHYLPHENIDATE,Platelet count decreased,2,0.00033534540576794097,1.0,745.5
DIAZEPAM,CEFTRIAXONE,Urinary retention,2,0.00033534540576794097,1.0,745.5
CANDESARTAN,PROPRANOLOL,Organising pneumonia,3,0.0005030181086519115,0.7500000000000001,745.5
AMITRIPTYLINE,ZOPICLONE,Poisoning,3,0.0005030181086519115,0.5,745.5
DULOXETINE,DIAZEPAM,Drug dose titration not performed,2,0.00033534540576794097,0.25,745.5
GABAPENTIN,NORTRIPTYLINE,Muscle tone disorder,2,0.00033534540576794097,0.25,745.5
IBUPROFEN,CANDESARTAN,Peptic ulcer,2,0.00033534540576794097,0.25,745.5
CARBAMAZEPINE,MELATONIN,Restlessness,4,0.0006706908115358819,0.6666666666666666,662.6666666666666
PREDNISOLONE,NORTRIPTYLINE,Mucosal erosion,2,0.00033534540576794097,0.3333333333333333,662.6666666666666
PREDNISOLONE,NORTRIPTYLINE,Conjunctivitis,2,0.00033534540576794097,0.3333333333333333,662.6666666666666
METOCLOPRAMIDE,PREGABALIN,Gamma-glutamyltransferase increased,3,0.0005030181086519115,0.6,596.4
PREDNISOLONE,MELATONIN,Epistaxis,5,0.0008383635144198525,0.5,596.4
CANDESARTAN,PRAMIPEXOLE,Hyperthyroidism,3,0.0005030181086519115,0.3,596.4
NAPROXEN,IBUPROFEN,Gastric ulcer perforation,3,0.0005030181086519115,0.3,596.4
PREDNISOLONE,MELATONIN,Idiopathic intracranial hypertension,2,0.00033534540576794097,0.19999999999999998,596.4
CANDESARTAN,PRAMIPEXOLE,Troponin increased,2,0.00033534540576794097,0.19999999999999998,596.4
MODAFINIL,PREGABALIN,Urticaria,2,0.00033534540576794097,0.6666666666666666,568.0
MELATONIN,METHYLPHENIDATE,Platelet count decreased,3,0.0005030181086519115,0.7500000000000001,559.1250000000001
FINGOLIMOD,TERIFLUNOMIDE,Non-small cell lung cancer,4,0.0006706908115358819,0.36363636363636365,542.1818181818182
METOCLOPRAMIDE,CYCLOSPORINE,Cardiac failure,9,0.0015090543259557343,1.0,542.1818181818181
ACYCLOVIR,IBUPROFEN,Hepatitis acute,5,0.0008383635144198525,0.7142857142857143,532.5
METOCLOPRAMIDE,LEVETIRACETAM,Rhabdomyolysis,4,0.0006706908115358819,0.7999999999999999,530.1333333333333
PREDNISOLONE,NORTRIPTYLINE,Mouth ulceration,2,0.00033534540576794097,0.3333333333333333,497.0
