antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,case_count,antecedents_str,consequents_str
"frozenset({'VANCOMYCIN', 'RITUXIMAB'})",frozenset({'Quadriparesis'}),0.001006036217303823,0.0011737089201877935,0.001006036217303823,1.0,852.0,1.0,0.0010048554236215415,inf,0.9998321584424302,0.8571428571428572,1.0,0.9285714285714286,6,"VANCOMYCIN, RITUXIMAB",Quadriparesis
"frozenset({'PREDNISOLONE', 'MELATONIN'})",frozenset({'Epistaxis'}),0.001676727028839705,0.0008383635144198525,0.0008383635144198525,0.5,596.4,1.0,0.0008369578076552317,1.9983232729711602,1.0,0.5000000000000001,0.49958046652122845,0.75,5,"PREDNISOLONE, MELATONIN",Epistaxis
"frozenset({'METOCLOPRAMIDE', 'CYCLOSPORINE'})",frozenset({'Cardiac failure'}),0.0015090543259557343,0.0018443997317236754,0.0015090543259557343,1.0,542.1818181818181,1.0,0.001506271026561785,inf,0.999664147774979,0.8181818181818182,1.0,0.9090909090909091,9,"METOCLOPRAMIDE, CYCLOSPORINE",Cardiac failure
"frozenset({'ACYCLOVIR', 'IBUPROFEN'})",frozenset({'Hepatitis acute'}),0.0011737089201877935,0.0013413816230717639,0.0008383635144198525,0.7142857142857143,532.5,1.0,0.0008367891228434771,3.495305164319249,0.9992949471210341,0.5000000000000001,0.7139019476158496,0.6696428571428572,5,"ACYCLOVIR, IBUPROFEN",Hepatitis acute
"frozenset({'METOCLOPRAMIDE', 'PREDNISOLONE'})",frozenset({'Thrombotic microangiopathy'}),0.001676727028839705,0.002012072434607646,0.001676727028839705,1.0,496.99999999999994,1.0,0.0016733533326046151,inf,0.9996640913671482,0.8333333333333333,1.0,0.9166666666666666,10,"METOCLOPRAMIDE, PREDNISOLONE",Thrombotic microangiopathy
"frozenset({'ZOPICLONE', 'RIZATRIPTAN'})",frozenset({'Dysphonia'}),0.0021797451374916165,0.0008383635144198525,0.0008383635144198525,0.38461538461538464,458.7692307692308,1.0,0.0008365360956258454,1.6236376592890676,1.0,0.38461538461538464,0.384099035718435,0.6923076923076923,5,"ZOPICLONE, RIZATRIPTAN",Dysphonia
"frozenset({'MYCOPHENOLATE MOFETIL', 'LEVETIRACETAM'})",frozenset({'Venoocclusive liver disease'}),0.0026827632461435278,0.0008383635144198525,0.0008383635144198525,0.3125,372.75,1.0,0.0008361143835964592,1.4533260167062982,1.0,0.3125,0.31192314146668904,0.65625,5,"MYCOPHENOLATE MOFETIL, LEVETIRACETAM",Venoocclusive liver disease
"frozenset({'LEVETIRACETAM', 'CEFTRIAXONE'})",frozenset({'Purpura'}),0.0030181086519114686,0.0015090543259557343,0.0015090543259557343,0.5,331.33333333333337,1.0,0.001504499836038363,1.9969818913480886,1.0,0.49999999999999994,0.49924433249370276,0.75,9,"LEVETIRACETAM, CEFTRIAXONE",Purpura
"frozenset({'ACYCLOVIR', 'AMPHOTERICIN B'})",frozenset({'Renal tubular disorder'}),0.0031857813547954395,0.001676727028839705,0.001676727028839705,0.5263157894736842,313.89473684210526,1.0,0.001671385343134146,2.107571354050227,1.0,0.5263157894736843,0.5255202163958771,0.763157894736842,10,"ACYCLOVIR, AMPHOTERICIN B",Renal tubular disorder
"frozenset({'DIAZEPAM', 'METHYLPHENIDATE'})",frozenset({'Pulmonary embolism'}),0.0015090543259557343,0.004024144869215292,0.001006036217303823,0.6666666666666667,165.66666666666666,1.0,0.000999963564080661,2.9879275653923547,0.9954659949622164,0.22222222222222224,0.6653198653198654,0.45833333333333337,6,"DIAZEPAM, METHYLPHENIDATE",Pulmonary embolism
"frozenset({'CARBAMAZEPINE', 'LAMOTRIGINE'})",frozenset({'BRASH syndrome'}),0.006036217303822937,0.0008383635144198525,0.0008383635144198525,0.1388888888888889,165.66666666666666,1.0,0.0008333029700672176,1.1603167391445446,1.0000000000000002,0.1388888888888889,0.13816635900878224,0.5694444444444444,5,"CARBAMAZEPINE, LAMOTRIGINE",BRASH syndrome
"frozenset({'MYCOPHENOLATE MOFETIL', 'ECULIZUMAB'})",frozenset({'COVID-19'}),0.0011737089201877935,0.005197853789403085,0.001006036217303823,0.8571428571428572,164.90322580645162,1.0,0.0009999354499453687,6.963615023474182,0.9951037994516255,0.18750000000000003,0.8563964267655487,0.5253456221198157,6,"MYCOPHENOLATE MOFETIL, ECULIZUMAB",COVID-19
"frozenset({'DULOXETINE', 'ZOPICLONE'})",frozenset({'Dementia'}),0.004694835680751174,0.0021797451374916165,0.001676727028839705,0.35714285714285715,163.84615384615384,1.0,0.0016664934835932655,1.5521648408972353,0.9985849056603774,0.3225806451612903,0.3557385313392707,0.5631868131868132,10,"DULOXETINE, ZOPICLONE",Dementia
"frozenset({'ZOPICLONE', 'PREGABALIN'})",frozenset({'Acquired haemophilia'}),0.006371562709590879,0.001676727028839705,0.001676727028839705,0.2631578947368421,156.94736842105263,1.0,0.0016660436574285867,1.3548672990322888,0.9999999999999999,0.2631578947368421,0.26192033661580894,0.631578947368421,10,"ZOPICLONE, PREGABALIN",Acquired haemophilia
"frozenset({'LAMOTRIGINE', 'BENZTROPINE'})",frozenset({'Cardiac arrest'}),0.0026827632461435278,0.00335345405767941,0.0013413816230717639,0.5,149.1,1.0,0.0013323850997781907,1.9932930918846412,0.995965030262273,0.2857142857142857,0.49831763122476447,0.44999999999999996,8,"LAMOTRIGINE, BENZTROPINE",Cardiac arrest
"frozenset({'DULOXETINE', 'RISPERIDONE'})",frozenset({'Encephalopathy'}),0.0025150905432595573,0.002347417840375587,0.0008383635144198525,0.33333333333333337,142.0,1.0,0.0008324595460084451,1.4964788732394367,0.9954614220877459,0.20833333333333331,0.331764705882353,0.34523809523809523,5,"DULOXETINE, RISPERIDONE",Encephalopathy
